date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:36	178983/178983	---M--	200	added ('OK')	image/jpeg	etag:%223a068a-2bb27-502e075b958a5%22	http://gooberlicious.co.uk/files/9514/1053/7954/redbox6.jpg	site/gooberlicious.co.uk/files/9514/1053/7954/redbox6.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:37	129686/129686	---M--	200	added ('OK')	image/jpeg	etag:%223017ad-1fa96-4f8f8086462ba%22	http://gooberlicious.co.uk/files/1913/9964/4083/eden1.jpg	site/gooberlicious.co.uk/files/1913/9964/4083/eden1.jpg	(from http://gooberlicious.co.uk/eden-health-and-beauty-spa/)
13:29:38	110239/110239	---M--	200	added ('OK')	image/jpeg	etag:%22261569-1ae9f-4f8f8087bbb4a%22	http://gooberlicious.co.uk/files/8713/9964/4084/eden3.jpg	site/gooberlicious.co.uk/files/8713/9964/4084/eden3.jpg	(from http://gooberlicious.co.uk/eden-health-and-beauty-spa/)
13:29:38	135908/135908	---M--	200	added ('OK')	image/jpeg	etag:%223a0384-212e4-4f8f80871821a%22	http://gooberlicious.co.uk/files/9213/9964/4084/eden2.jpg	site/gooberlicious.co.uk/files/9213/9964/4084/eden2.jpg	(from http://gooberlicious.co.uk/eden-health-and-beauty-spa/)
13:29:38	104709/104709	---M--	200	added ('OK')	image/jpeg	etag:%223a03bb-19905-4f8f888e2370a%22	http://gooberlicious.co.uk/files/6413/9964/6238/tigerwishing1.jpg	site/gooberlicious.co.uk/files/6413/9964/6238/tigerwishing1.jpg	(from http://gooberlicious.co.uk/tiger-wishing-tree/)
13:29:39	156066/156066	---M--	200	added ('OK')	image/jpeg	etag:%223a0699-261a2-502e075c69f15%22	http://gooberlicious.co.uk/files/2614/1053/7955/redbox7.jpg	site/gooberlicious.co.uk/files/2614/1053/7955/redbox7.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:39	106756/106756	---M--	200	added ('OK')	image/jpeg	etag:%22282f1d-1a104-4f8f888ebfb0a%22	http://gooberlicious.co.uk/files/1113/9964/6239/tigerwishing2.jpg	site/gooberlicious.co.uk/files/1113/9964/6239/tigerwishing2.jpg	(from http://gooberlicious.co.uk/tiger-wishing-tree/)
13:29:45	92225/92225	---M--	200	added ('OK')	image/jpeg	etag:%223a0617-16841-502e03d6e55e5%22	http://gooberlicious.co.uk/files/3714/1053/7010/brandculture4.jpg	site/gooberlicious.co.uk/files/3714/1053/7010/brandculture4.jpg	(from http://gooberlicious.co.uk/brand-culture/)
13:29:45	116468/116468	---M--	200	added ('OK')	image/jpeg	etag:%2230178e-1c6f4-4f1d4a62cda33%22	http://gooberlicious.co.uk/files/3813/9179/5530/brandculture2.jpg	site/gooberlicious.co.uk/files/3813/9179/5530/brandculture2.jpg	(from http://gooberlicious.co.uk/brand-culture/)
13:29:45	75675/75675	---M--	200	added ('OK')	image/jpeg	etag:%223a05a0-1279b-502e007d26d94%22	http://gooberlicious.co.uk/files/3114/1053/6110/blissful2.jpg	site/gooberlicious.co.uk/files/3114/1053/6110/blissful2.jpg	(from http://gooberlicious.co.uk/blissful-childcare/)
